parkName,stateAbbrev,stateName,type,totalDeferredMaintenance2019,nonTransportation2019,transportation2019,nonHistoric2019,historic2019,amphitheater2019,aviation2019,buildings2019,communicationsSystem2019,constructedWaterway2019,damLeveeDike2019,electricalSystem2019,fortification2019,fuelSystem2019,heatingCoolingSystems2019,interpretiveMedia2019,maintainedArcheologicalSite2019,maintainedLandscape2019,marinaWaterfrontSystem2019,missileSiloTower2019,monumentMemorial2019,parkingLot2019,pavedRoads2019,railroadSystem2019,roadBridge2019,roadTunnel2019,ship2019,solidWasteSystem2019,trails2019,trailBridge2019,trailTunnel2019,unpavedRoads2019,wasteWaterSystem2019,waterSystems2019,totalDeferredMaintenance2018,nonTransportation2018,transportation2018,nonHistoric2018,historic2018,amphitheater2018,aviation2018,buildings2018,communicationsSystem2018,constructedWaterway2018,damLeveeDike2018,electricalSystem2018,fortification2018,fuelSystem2018,heatingCoolingSystems2018,interpretiveMedia2018,maintainedArcheologicalSite2018,maintainedLandscape2018,marinaWaterfrontSystem2018,missileSiloTower2018,monumentMemorial2018,parkingLot2018,pavedRoads2018,railroadSystem2018,roadBridge2018,roadTunnel2018,ship2018,solidWasteSystem2018,trails2018,trailBridge2018,trailTunnel2018,unpavedRoads2018,wasteWaterSystem2018,waterSystems2018,totalDeferredMaintenance2017,nonTransportation2017,transportation2017,nonHistoric2017,historic2017,amphitheater2017,aviation2017,buildings2017,communicationsSystem2017,constructedWaterway2017,damLeveeDike2017,electricalSystem2017,fortification2017,fuelSystem2017,heatingCoolingSystems2017,interpretiveMedia2017,maintainedArcheologicalSite2017,maintainedLandscape2017,marinaWaterfrontSystem2017,missileSiloTower2017,monumentMemorial2017,parkingLot2017,pavedRoads2017,railroadSystem2017,roadBridge2017,roadTunnel2017,ship2017,solidWasteSystem2017,trails2017,trailBridge2017,trailTunnel2017,unpavedRoads2017,wasteWaterSystem2017,waterSystems2017,totalDeferredMaintenance2016,nonTransportation2016,transportation2016,nonHistoric2016,historic2016,amphitheater2016,aviation2016,buildings2016,communicationsSystem2016,constructedWaterway2016,damLeveeDike2016,electricalSystem2016,fortification2016,fuelSystem2016,heatingCoolingSystems2016,interpretiveMedia2016,maintainedArcheologicalSite2016,maintainedLandscape2016,marinaWaterfrontSystem2016,missileSiloTower2016,monumentMemorial2016,parkingLot2016,railroadSystem2016,roadBridge2016,roadTunnel2016,pavedRoads2016,ship2016,solidWasteSystem2016,trailBridge2016,trailTunnel2016,trails2016,unpavedRoads2016,wasteWaterSystem2016,waterSystems2016,totalDeferredMaintenance2015,nonTransportation2015,transportation2015,nonHistoric2015,historic2015,amphitheater2015,aviation2015,buildings2015,communicationsSystem2015,constructedWaterway2015,damLeveeDike2015,electricalSystem2015,fortification2015,fuelSystem2015,heatingCoolingSystems2015,interpretiveMedia2015,maintainedArcheologicalSite2015,maintainedLandscape2015,marinaWaterfrontSystem2015,missileSiloTower2015,monumentMemorial2015,parkingLot2015,railroadSystem2015,roadBridge2015,roadTunnel2015,pavedRoads2015,ship2015,solidWasteSystem2015,trailBridge2015,trailTunnel2015,trails2015,unpavedRoads2015,wasteWaterSystem2015,waterSystems2015
Cuyahoga Valley National Park,OH,Ohio,park,55967201.28,50025794.17,5941407.119,34961410.54,21005790.75,0,0,33510616.19,0,89000,54052.81,115236.48,0,0,0,482000,0,747678.11,0,0,0,4501371.674,1163031.858,4362632.35,675533.25,0,0,0,5769364.95,2730151.41,0,93820.572,1369815.07,302896.56,51863771.46,45843427.75,6020343.711,31790138.52,20073632.94,0,0,29977004.2,205975,89000,52734.44,115236.48,0,0,0,467452,0,703390.5,0,0,0,4196286.085,1747562.256,5357132.08,638266.5,0,0,0,3476048.31,3071151.41,0,93820.572,1369815.07,302896.56,45813356.39,40287878.5,5525477.9,29330773.27,16482583.13,0,0,27673515.32,205975,89000,52734.44,115236.48,0,0,0,467452,0,599868.86,0,0,0,3476446.064,1596602.57,4747888.22,452429.2665,0,0,0,2503566.3,2633974.53,0,110292.705,785478.08,302896.56,44387747.34,39114350.64,5273396.702,28143824.83,16243922.51,0,0,27504192.45,205975,89000,260357.29,115236.48,0,0,0,470175,0,504217.27,0,0,0,4071694.364,3713790.08,504441,0,697261.338,0,0,3396474.53,0,2344532.15,56892.942,175642.21,277865.24,40824920.07,33966247.26,6858672.811,26629325.66,14195594.41,0,0,22260759.36,74036.96,89000,0,145906.73,0,0,0,1262710,0,294076.7,0,0,0,5415117.641,4999732.36,504441,0,939114.1693,0,0,2975289.02,0,1563831.96,17516.169,283388,0
Death Valley National Park,Total,Total,park,153205891.6,51570869.27,101635022.3,125566717.3,27639174.33,0,0,13491521.51,176268.24,39131.83,0,64769.69,0,33496.68,0,190761.84,2637961.39,3815800.89,0,0,337058.13,9007517.79,92630746.46,0,0,0,0,0,629567.3,0,0,965481.849,16707284.96,12478523.04,128869756.3,30024479.4,98845276.86,101234848.9,27634907.36,0,0,12487966.44,176268.24,39131.83,0,0,0,32679.68,0,108546.08,1951429.99,3531518.03,0,0,380047.17,11421603.95,87426914.83,0,0,0,0,0,177556.08,0,0,550264.8195,3744413.97,6150081.78,139335915.2,25539305.75,113796609.4,115955028.7,23380886.5,0,0,11364129.82,176268.24,0,0,0,0,0,0,110815.08,2075866.81,3167602.31,0,0,380047.17,11108110.69,102688498.7,0,0,0,0,0,177556.08,0,0,550099.539,3233873.29,3611714.04,140121726.3,19987884.71,120133841.6,121696374.9,18425351.36,0,0,9297092.31,176268.24,0,0,0,0,0,0,42796.63,0,2127705.88,0,0,388221.23,9382019.846,0,0,0,110751821.7,0,0,0,0,154778.88,540647.001,3808424.4,3372904.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denali National Park and Preserve,AK,Alaska,park,61373701.94,22696841.47,38676860.46,26964664.61,34409037.32,1650,0,7674539.07,802000,0,0,145358.35,0,55203.51,0,607167.9,0,167204.37,0,0,0,4171385.871,26955400.32,0,7550181.45,0,0,0,1009014.24,0,0,9253677.735,1972256.67,1008662.45,51784799.83,21506503.18,30278296.65,25339100.33,26445699.5,0,186288,7232358.85,43218,0,0,360168.69,0,50381.04,0,331895.53,0,134204.37,0,0,0,5360998.865,17499395.26,0,7418009.7,0,0,0,1044492.8,0,0,10968471.52,448641.32,706275.88,54733275.37,30410789.16,24322486.21,20046696.07,34686579.3,0,299266.74,6026722.05,43218,0,0,450168.69,0,50381.95,0,240624,0,150257.93,0,0,0,4931822.889,16936228.32,0,2454435,0,0,0,1354221.1,0,0,20650714.14,440447.68,704766.88,50336451.13,25745492.35,24590958.78,17775767.06,32560684.06,0,299266.74,4402976.29,0,0,0,413725.23,0,49328.37,0,0,0,57000,0,0,0,4905531.531,0,2454435,0,17230992.25,0,0,0,0,1217912.56,18601904.38,0,703378.78,52628328.74,25813332.44,26814996.3,25085167.19,27543161.56,0,299266.74,2635936.28,65972,0,0,384843.24,0,49328.37,1902449.99,0,0,410266.6,0,0,0,6705765.751,0,2999463.75,0,17109766.8,0,0,0,1906639.02,901376.9,13564381.66,1435707.24,2257164.4
Dry Tortugas National Park,FL,Florida,park,30937411.36,30890161.36,47250,4083955.83,26853455.53,0,0,8890746.36,75000,0,0,345776.06,18591596.03,126350.88,0,81562.5,943358.3,60424.67,1487842.23,0,0,0,0,0,47250,0,0,0,0,0,0,0,20354.67,267149.66,62868146.95,62820896.95,47250,4309922.2,58558224.75,0,0,9716047.11,0,0,0,324434.28,49054603.53,126350.88,0,81562.5,1196287.3,142229.59,1890987.75,0,0,0,0,0,47250,0,0,0,0,0,0,0,27815.53,260578.48,60259376.99,60212126.99,47250,4447727.74,55811649.25,0,0,8648069.55,0,0,0,218055.18,48403180.53,126350.88,0,81562.5,425297,142229.59,1878987.75,0,0,0,0,0,47250,0,0,0,0,0,0,0,27815.53,260578.48,58828779.16,58781529.16,47250,4475655.56,54353123.6,0,0,7918135.32,53300,0,0,218055.18,47748511.04,126350.88,0,81562.5,427179,131649.5,1788686.67,0,0,0,0,47250,0,0,0,0,0,0,0,0,27520.59,260578.48,56336687.99,56289437.99,47250,3246438.72,53090249.27,0,0,5529380.7,53300,0,0,218055.18,47733921.78,181734.89,0,81562.5,420929,88257.52,1820909.51,0,0,0,0,47250,0,0,0,0,0,0,0,0,7958.09,153428.82
Everglades National Park,FL,Florida,park,88648654.49,32463940.44,56184714.05,75582589.1,13066065.39,139671.11,0,15168199.78,60633.39,151497.89,5899000,0,811497.84,0,0,162070,0,446881.39,4905177.98,0,0,8274110.31,47370603.74,0,540000,0,0,0,818628.4,82492.9,0,28140.75,1479386.46,2310662.55,74724664.25,30536106.68,44188557.57,66077039.02,8647625.239,152850.37,0,12989302.82,173230.37,151497.89,5796830,0,811497.84,0,0,200520,0,446832.81,6445955.94,0,0,6510377.498,37138180.08,0,540000,0,0,0,1756944.84,82492.9,0,28140.75,838673.6,661336.55,90906801.86,44634228.28,46272573.58,80927028.11,9979773.754,152850.37,0,18460471.53,602205.37,151497.89,5833137.81,0,811497.84,0,0,116770,0,495361.01,13654276.01,0,0,6182791.03,39519635.44,0,570147.1065,0,0,0,2628406.05,82492.9,0,36045.2295,947879.72,661336.55,78190173.58,27747824.53,50442349.05,72644375.83,5545797.746,152850.37,0,13658781.31,650854.61,4326.85,35570.74,0,811497.84,46985,0,116770,0,383842.24,6602686.42,0,0,12174575.21,0,1240110,0,37027663.84,0,0,0,0,2764622.22,36045.2295,214185.93,582654.29,78218847.68,24602840.9,53616006.78,73717322.9,4501524.784,152850.37,0,11349209.17,650854.61,5063.91,35570.74,0,811497.84,46985,0,246536.15,0,353013.43,7129293.51,0,0,6409538.433,0,38272.5,0,47168195.85,0,0,0,0,1295809.99,7904.4795,216600.93,615499.29
Gates of the Arctic National Park and Preserve,AK,Alaska,park,919268.86,919268.86,0,919268.86,0,0,0,824522.39,0,0,0,0,0,0,0,0,0,9490.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85256.42,922236.1,922236.1,0,922236.1,0,0,0,825126,0,0,0,0,0,0,0,0,0,9490.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87620.05,944371.77,944371.77,0,944371.77,0,0,0,932518.09,0,0,0,0,0,0,0,0,0,9490.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363.63,832622.57,832622.57,0,832622.57,0,0,0,790781.13,0,0,0,0,0,29987.76,0,0,0,9490.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363.63,928026.61,928026.61,0,928026.61,0,0,0,915956.34,0,0,0,0,0,0,0,0,0,9706.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363.63
Glacier Bay National Park & Preserve,AK,Alaska,park,17664216.87,11680774.53,5983442.343,15901266.47,1762950.4,0,0,8007165.73,0,0,0,0,0,271101.55,0,0,0,324550,524724.31,0,0,1221772.656,5023481.464,0,0,0,0,0,1456264.64,0,0,460193.8725,117674.8,257287.85,13009732.15,7427189.3,5582542.855,11982628.75,1027103.4,0,0,4028812.6,0,0,0,0,0,271101.55,0,0,0,0,434367.51,0,0,1033451.604,4810903.029,0,0,0,0,0,1473260.63,0,0,460193.8725,222937.3,274704.06,9442527.78,6919901.243,2522626.538,8949993,492534.78,0,0,3801595.87,0,0,0,0,0,189753.15,0,0,0,0,476629.4,0,0,702647.649,1819978.889,0,0,0,0,0,1481037.59,0,0,460193.8725,222937.3,287754.06,13716151.55,8737348.622,4978802.93,13015274.81,700876.74,0,1550,5338523.51,0,0,0,7108.42,0,120588.94,0,0,0,11910,412726.2,0,0,998042.1885,0,0,0,3980760.741,0,0,0,0,2047722.1,238351.8015,222597.3,336270.35,11310667.61,5480171.912,5830495.695,10784094.55,526573.06,0,0,3966413.89,0,0,0,7108.42,0,85087.34,0,0,0,0,243089.15,0,0,1081185.011,0,0,0,4749310.684,0,0,0,0,488224.51,238351.8015,104922.5,346974.3
Glacier National Park,MT,Montana,park,179273366.5,48706392.48,130566974.1,77326901.34,101946465.2,39885.3,0,19346744.18,3277613.6,0,0,661797.52,0,92046.02,0,406049.96,70140.09,2902793.94,290106.11,0,0,13739467.71,106873610,0,6873190.943,3290868,0,0,8110465.18,460040.33,0,1364774.265,7122953.53,4075865.65,131189893.6,56571217.59,74618675.98,77940016.44,53249877.14,39885.3,0,25933138.09,3494248.6,0,0,705211.91,0,171079.67,0,255101.44,110921.47,2916625.65,273607.86,0,0,12995608.94,51570925.2,0,6975276.836,3290868,0,0,9908164.51,616553.75,0,1027274.265,5756031.75,4874416.14,153838276,66565711.32,87272564.64,71861742.61,81976533.34,16635.3,0,37402035.63,3419248.6,0,0,705211.91,0,163079.67,0,233350,123251.79,2999395.83,247678.62,0,0,11522413.97,69524906.66,0,4404040.011,1821204,0,0,9287165.52,596553.75,0,1215788.886,5973636.47,4019014.34,148262903.2,57430765.87,90832137.37,61241979.6,87020923.64,16635.3,0,31545499.61,1165888.6,0,0,705211.91,0,73278.67,0,83310.52,123251.79,3280153.74,151333.91,0,0,8106019.799,0,5870431.422,1821204,75034482.15,0,0,589899.71,0,8237949.55,613145.511,6524873.79,4156668.26,179807896.8,56253634.71,123554262.1,71199172.88,108608724,26472.45,0,31763266.96,180847,0,0,129215.35,0,213208.37,0,37310.92,128394.14,3538194.95,650597.2,0,0,13270542.94,0,7709901.435,2269060.452,100304757.3,0,0,589899.71,0,11236597.42,96592.353,3836956.1,3784209.95
Grand Canyon National Park,AZ,Arizona,park,314444838.6,216500396.7,97944441.95,249049709.6,65395129.03,133204.82,0,30997677.76,6687426.98,0,0,2730983.08,0,325544,0,1341874.87,585305.06,369093.69,0,0,47388.29,19097814.43,78846627.51,0,0,0,0,395213.95,13171759.42,48713.46,0,433569.2805,33369779.89,125862862.2,313866912.6,209862324,104004588.5,255105278,58761634.58,120686.92,5303.84,25595940.09,4337575.81,0,0,3513033.74,0,345790.64,0,868656.82,599573.82,1517889.09,0,0,47388.29,17137149.37,86914807.11,0,0,0,0,236747.95,17796907.23,850499.29,0,3052209.51,30294247.5,120632505.6,329437053.8,223057396,106379657.8,259159884.9,70277168.82,0,5303.84,27944882.64,4109536.6,0,0,1980547.59,0,345790.64,0,862021.83,779120.82,2042456.47,0,0,47388.29,16415196.08,89964461.7,0,0,0,0,124458.95,28859159.4,948258.63,0,3277693.094,31067068.1,119663337.5,353354523.8,233435731.8,119918792,291570320.5,61784203.34,0,5303.84,30782972.67,3524347.08,0,0,7377978.02,0,345790.64,0,399375,779120.82,2130470.83,0,0,909666.72,14125819.35,0,0,0,105792972.7,0,16308.95,947535.83,0,29873482.92,3209136.048,31750867.86,120383003,371589415.2,263813857.1,107775558.1,326179679.9,45409735.28,0,0,22786126.69,0,0,0,6751200.39,0,163055.2,0,399375,779120.82,11068079.23,0,0,909666.72,13424667.86,0,0,0,94350890.28,0,19236.82,801785.83,0,33334357.99,3023130.01,24513740.51,158264610.2
Grand Teton National Park,WY,Wyoming,park,166881527.1,64295697.24,102585829.9,139848144.1,27033383.05,1020443.18,0,19046202,627203,27184.46,252000,0,0,150000,0,433965.81,0,1762561.28,400348.47,0,66822.42,14469648.38,85058469.44,0,3685009.95,0,0,0,12657596.7,177876.4,0,2858990.553,15484966.2,8702238.88,181005620.9,90777461.53,90228159.36,140962449.9,40043170.95,1025735.61,0,31602752.99,165165,27184.46,0,2299.47,0,150000,0,433965.81,0,2605098.56,799827.26,0,0,14720928.92,72964052.22,0,3192043.95,0,0,0,16756842.19,178177.38,0,2323460.484,19822991.93,14235094.66,178630524.7,91924240.79,86706283.92,139817740.8,38812783.93,5292.43,0,32947664.24,165165,109887.5,0,2299.47,0,235615,0,1104960.7,0,2729305.81,799827.26,0,0,12766180.77,69533338.65,0,4406764.5,0,0,0,16340364.15,178177.38,0,1411809.804,20127246.87,15766625.18,190800484.5,99800229.68,91000254.79,147393119.6,43407364.89,5292.43,0,42008218.32,17962,127271.56,0,62241.47,0,85615,0,1101809.36,0,2863383.27,801705.26,0,0,18283372.99,0,4309686,0,68407195.8,0,0,749060.26,0,16554291.96,1099094.873,19586971.42,14737312.5,207816744.3,102287020.1,105529724.1,181585672.9,26231071.38,5292.43,0,43129735.06,0,115203.69,0,62241.47,0,0,0,1101809.36,0,2853162.74,801705.26,0,0,18641505.24,0,4244967,0,82643251.89,0,0,610500.26,0,15474302.22,616596.03,21307749,16208722.6
Great Basin National Park,NV,Nevada,park,17867376.71,6209235.984,11658140.73,17122459.01,744917.703,0,0,738300.03,0,0,0,0,0,0,0,0,0,1048119.07,0,0,0,1002369.238,10695827.85,0,0,0,0,0,2609201.52,0,0,708044.2605,0,1065514.74,14925849.45,6666639.858,8259209.591,14080125.01,845724.435,0,0,1523852.48,0,0,0,167121.04,0,0,0,0,0,785819.47,0,0,0,951653.637,7347612.317,0,0,0,0,0,2613029.78,0,0,747683.055,557703.78,231373.89,17450741.12,9321349.102,8129392.019,16086961.06,1363780.056,0,0,3152172.1,0,0,0,167121.04,0,0,0,0,0,1139882.53,0,0,0,885154.0583,7244237.961,0,0,0,0,0,2390552.16,0,0,1345775.432,818434.32,307411.52,16945076.24,8699188.953,8245887.291,15660293.37,1284782.876,0,0,3130030.95,0,0,0,167121.04,0,0,0,0,0,1003375.46,0,0,0,721872.7852,0,0,0,7524014.506,0,0,0,0,2076964.09,1195851.573,818434.32,307411.52,16942598.92,8613945.417,8328653.499,15657982.86,1284616.057,0,0,3096030.95,0,0,0,167121.04,0,0,0,0,0,952234.74,0,0,0,867081.1007,0,0,0,7461572.399,0,0,0,0,2076964.09,1195748.757,818434.32,307411.52
Great Smoky Mountains National Park,Total,Total,park,202014159.4,46312576.27,155701583.1,131300559.6,70713599.76,83000,0,16116067.18,2242383.35,82131.33,0,0,0,398062.87,0,51691,0,5143581.95,0,0,22992,9776236.127,105078305.7,0,30657495.59,10199034,0,0,7382575.02,332776.77,0,1817803.188,5975199.3,6654823.97,235895972.7,53851080.45,182044892.3,165706901.4,70189071.34,93976.3,0,13755806.8,2239864,129528.12,0,0,0,390466.18,0,54285.98,0,5327434.75,0,0,25634.73,9011591.415,140131290.4,0,28759181.03,4380210,0,0,16295528.18,93046.3,0,4053551.418,5388269.66,5766307.49,215451902.1,52940651.72,162511250.4,191404462.1,24047440.04,10976.3,0,17200265.35,1159254,138462.12,0,0,0,135870.57,0,54285.98,0,2324629.79,0,35854.22,25634.73,8251150.836,128291907.1,0,23009222.33,2958970.149,0,0,16149958.55,93046.3,0,4351938.104,5601970.82,5658504.89,211192042,63872000.22,147320041.8,183086811.2,28105230.84,10976.3,0,25099987.09,253000,135109.72,0,0,0,134980.62,0,54091,0,3108204.57,0,42085.72,25634.73,8068499.519,0,22108495.56,2958970.149,114184076.6,0,0,93046.3,0,18687403.79,4472556.156,5550981.22,6203943,232283727.4,57216665.52,175067061.8,193873523.5,38410203.83,10976.3,0,17848357.27,52000,135109.72,0,0,0,134980.62,0,33678,0,3587511.74,0,42085.72,45142.73,8763905.292,0,31915827.9,2958970.149,131428358.5,0,0,93046.3,0,17407007.89,4920752.444,5662069.46,7243947.33
Guadalupe Mountains National Park,TX,Texas,park,7940150.057,3913680.287,4026469.77,6542146.38,1398003.678,0,0,2169163.12,98438.41,0,0,0,0,24534.96,0,10123.2,53379.71,275960.3,0,0,0,631485.0585,3394984.712,0,0,0,0,0,266837.8,0,0,240454.467,249471.21,525317.11,5865024.421,3352957.3,2512067.121,5232915.801,632108.62,0,0,1395215.02,96555.92,0,0,0,0,24534.96,0,22770.57,23553.4,234493.26,0,0,0,601288.1775,1910778.944,0,0,0,0,0,281270.13,0,0,576697.0095,249471.21,448395.82,6411208.105,2793934.27,3617273.835,5802652.885,608555.22,0,0,1049372.42,96555.92,0,0,0,0,24534.96,0,22770.57,22181.06,111814.64,0,0,0,609332.2875,3007941.548,0,0,0,0,0,206770.13,0,0,576697.0095,249471.21,433766.35,5503664.412,1820197.62,3683466.792,5428005.472,75658.94,0,0,688263.71,93405.49,0,0,0,0,24534.96,0,12647.37,0,83722.19,0,0,0,619656.8985,0,0,0,3063809.894,0,0,0,0,206770.13,118558.35,249471.21,342824.21,5533476.34,2055745.47,3477730.87,5457817.4,75658.94,0,0,651638.96,93405.49,0,0,0,0,24534.96,0,12647.37,0,108153.68,0,0,0,438684.3155,0,0,0,3039046.554,0,0,0,0,213574.11,118558.35,249471.21,583761.34
Haleakala National Park,HI,Hawaii,park,26014699.23,11378619.44,14636079.79,11698450.2,14316249.03,0,0,2225159.31,114101.08,0,0,24000,0,100000,0,156066.96,149400,95000,0,0,16521.3,2298166.561,11979569.23,0,358344,0,0,29054.9,3545457.08,0,0,0,138858.32,3088351.23,24382236.31,12234065.06,12148171.25,9852287.653,14529948.66,0,0,3078789.82,177004.08,0,0,24000,0,100000,0,69326.56,0,114938.97,0,0,25000,660868.3488,11235608.9,0,251694,0,0,5529.5,3171835.63,0,0,0,185991.98,3337518.13,21107901.62,10638854.56,10469047.06,7736613.057,13371288.56,0,0,4158839.1,177004.08,0,0,24000,0,100000,0,43486.56,0,114938.97,0,0,25000,539736.2543,9724542.801,0,204768,0,0,5529.5,2017846.48,0,0,0,185991.98,3337518.13,22384766.31,6534030.6,15850735.71,6262694.677,16122071.63,0,0,1510202.99,177004.08,0,0,73291,0,120931.93,0,55498.12,0,114300,0,0,25000,524834.6535,0,204768,0,15121133.06,0,5529.5,0,0,2341427.58,0,173481.6,1501063.8,22331454.2,7046923.71,15284530.49,6816234.518,15515219.69,0,0,2154722.16,7507.08,0,0,80780.62,0,27500,0,65989.04,0,114300,0,0,25000,248882.2816,0,23463,0,15012185.21,0,0,0,0,2418272.77,0,199988.14,1516563.9
Hawaii Volcanoes National Park,HI,Hawaii,park,107336432.9,42539057.77,64797375.12,65391779.39,41944653.49,0,57086,14623409.92,56976.52,0,0,354976.97,0,0,0,1256172.6,129462.06,594457.49,0,0,0,6532129.756,58265245.36,0,0,0,0,0,5444355.51,583754.38,0,2428337.219,0,9706311.89,92735494.03,35035954.99,57699539.04,52496590,40238904.03,0,57086,12912657.22,56976.52,0,0,113568.59,0,0,0,550547.74,129462.06,620785.63,0,0,0,1974975.92,55724563.12,0,0,0,0,0,3642579.53,0,0,1105543.08,19358.23,7668787.43,85545253.57,33114388.01,52430865.56,44890496.33,40654757.25,0,57086,14804335.52,56976.52,0,0,113568.59,0,0,0,544847.74,92620.47,583856.73,0,0,0,1875133.745,50555731.82,0,0,0,0,0,2849254.52,0,0,1105543.08,19358.23,5562338.69,76214949.36,29234558.08,46980391.28,38736595.75,37478353.61,0,46950,12312090.49,56976.52,0,0,106068.59,0,0,0,246931.49,92239.76,559714.38,0,0,0,1802014.371,0,0,0,45178376.91,0,0,0,0,2969201.89,1105543.08,19358.23,5294271.67,78932237.43,29530413.27,49401824.16,42350948.42,36581289.01,0,46950,13302648.63,56976.52,0,0,106068.59,0,0,0,201559.49,21258.07,355621.86,0,0,0,1831215.434,0,0,0,47570608.73,0,0,0,0,1974926.71,1277706.461,19358.23,6450694.39
Hot Springs National Park,AR,Arkansas,park,14158542.95,8616484.64,5542058.313,2681448.893,11477094.06,73414.72,0,4095891.64,0,0,0,0,0,0,0,885742,0,987101.03,0,0,80091.43,731263.0995,4810795.214,0,0,0,0,0,1438060.51,0,0,0,0,1029509.91,14939420.44,9301093.06,5638327.38,2385793.12,12553627.32,73414.72,0,4246497.22,0,0,0,0,0,0,0,770382,0,1192745.91,0,0,80091.43,783131.9895,4855195.391,0,0,0,0,0,1528069.36,0,0,0,0,1388638.62,12360491.16,8990616.75,3369874.415,2669088.886,9691402.279,73414.72,0,3768180.73,0,27295.04,0,0,0,0,0,1083776.5,0,1234892.7,0,0,291981.43,606347.613,2763526.802,0,0,0,0,0,1546367.1,0,0,0,0,943454.73,19960757.51,8853324.26,11107433.25,2305190.548,17655566.96,118094.87,0,2939927.36,0,527295.03,840000,0,0,0,0,527500,0,1071444.23,0,0,65144.15,745084.3725,0,0,0,10362348.87,0,0,0,0,1431785.33,0,0,1310879.49,19595323.08,13119666.74,6475656.338,5227580.968,14367742.11,65598.69,0,7683236.68,0,527295.03,840000,0,0,0,0,527500,0,1192907.38,0,0,0,586295.1628,0,0,0,5889361.175,0,0,0,0,1410858.49,0,0,851016.67
