parkName,stateAbbrev,stateName,type,totalDeferredMaintenance2019,nonTransportation2019,transportation2019,nonHistoric2019,historic2019,amphitheater2019,aviation2019,buildings2019,communicationsSystem2019,constructedWaterway2019,damLeveeDike2019,electricalSystem2019,fortification2019,fuelSystem2019,heatingCoolingSystems2019,interpretiveMedia2019,maintainedArcheologicalSite2019,maintainedLandscape2019,marinaWaterfrontSystem2019,missileSiloTower2019,monumentMemorial2019,parkingLot2019,pavedRoads2019,railroadSystem2019,roadBridge2019,roadTunnel2019,ship2019,solidWasteSystem2019,trails2019,trailBridge2019,trailTunnel2019,unpavedRoads2019,wasteWaterSystem2019,waterSystems2019,totalDeferredMaintenance2018,nonTransportation2018,transportation2018,nonHistoric2018,historic2018,amphitheater2018,aviation2018,buildings2018,communicationsSystem2018,constructedWaterway2018,damLeveeDike2018,electricalSystem2018,fortification2018,fuelSystem2018,heatingCoolingSystems2018,interpretiveMedia2018,maintainedArcheologicalSite2018,maintainedLandscape2018,marinaWaterfrontSystem2018,missileSiloTower2018,monumentMemorial2018,parkingLot2018,pavedRoads2018,railroadSystem2018,roadBridge2018,roadTunnel2018,ship2018,solidWasteSystem2018,trails2018,trailBridge2018,trailTunnel2018,unpavedRoads2018,wasteWaterSystem2018,waterSystems2018,totalDeferredMaintenance2017,nonTransportation2017,transportation2017,nonHistoric2017,historic2017,amphitheater2017,aviation2017,buildings2017,communicationsSystem2017,constructedWaterway2017,damLeveeDike2017,electricalSystem2017,fortification2017,fuelSystem2017,heatingCoolingSystems2017,interpretiveMedia2017,maintainedArcheologicalSite2017,maintainedLandscape2017,marinaWaterfrontSystem2017,missileSiloTower2017,monumentMemorial2017,parkingLot2017,pavedRoads2017,railroadSystem2017,roadBridge2017,roadTunnel2017,ship2017,solidWasteSystem2017,trails2017,trailBridge2017,trailTunnel2017,unpavedRoads2017,wasteWaterSystem2017,waterSystems2017,totalDeferredMaintenance2016,nonTransportation2016,transportation2016,nonHistoric2016,historic2016,amphitheater2016,aviation2016,buildings2016,communicationsSystem2016,constructedWaterway2016,damLeveeDike2016,electricalSystem2016,fortification2016,fuelSystem2016,heatingCoolingSystems2016,interpretiveMedia2016,maintainedArcheologicalSite2016,maintainedLandscape2016,marinaWaterfrontSystem2016,missileSiloTower2016,monumentMemorial2016,parkingLot2016,railroadSystem2016,roadBridge2016,roadTunnel2016,pavedRoads2016,ship2016,solidWasteSystem2016,trailBridge2016,trailTunnel2016,trails2016,unpavedRoads2016,wasteWaterSystem2016,waterSystems2016,totalDeferredMaintenance2015,nonTransportation2015,transportation2015,nonHistoric2015,historic2015,amphitheater2015,aviation2015,buildings2015,communicationsSystem2015,constructedWaterway2015,damLeveeDike2015,electricalSystem2015,fortification2015,fuelSystem2015,heatingCoolingSystems2015,interpretiveMedia2015,maintainedArcheologicalSite2015,maintainedLandscape2015,marinaWaterfrontSystem2015,missileSiloTower2015,monumentMemorial2015,parkingLot2015,railroadSystem2015,roadBridge2015,roadTunnel2015,pavedRoads2015,ship2015,solidWasteSystem2015,trailBridge2015,trailTunnel2015,trails2015,unpavedRoads2015,wasteWaterSystem2015,waterSystems2015
Pinnacles National Park,CA,California,park,19360187.31,5315072.568,14045114.75,9063414.444,10296772.87,10932.36,0,3585531.98,0,0,22753.5,15225.81,0,0,0,0,0,403943.02,0,0,0,1561341.002,12741650.53,0,12979.575,0,0,0,441043.64,0,0,158155.329,270000,0,10648600.84,4671495.48,5977105.358,6334009.142,4314591.696,0,0,1725135.87,75000,0,22753.5,15225.81,0,0,0,0,0,127116,0,0,0,1543046.598,4690561.46,0,12663,0,0,0,573986.5,0,0,129000,1598591,0,9431253.076,4103143.455,5328109.621,5251570.066,4179683.01,0,0,1370648.46,75000,0,22753.5,15225.81,0,0,0,0,0,77600,0,0,0,1016296.983,4295531.638,0,16281,0,0,0,664087.54,0,0,183716.0451,1558591,0,9815737.468,4581609.909,5234127.56,5585958.6,4229778.868,0,0,1472196.34,75000,0,8000,15000,0,0,0,0,0,174266,0,0,0,1031077.223,0,16281,0,4186769.336,0,0,0,0,773096.44,213089.2485,1558591,204800.4,10172434.68,5275926.478,4896508.204,5657557.879,4514876.803,0,0,1244630.13,75000,0,8000,0,0,0,0,0,0,174266,0,0,0,475102.4325,0,16281,0,4405124.772,0,0,0,0,763519.87,1159548.598,1558591,204800.4
Redwood National Park,CA,California,park,24748883.71,14098230.03,10650653.69,21880799.55,2868084.162,0,0,4504519.88,78859.93,0,0,120306.98,0,0,0,20747.4,0,364499.86,0,0,81556.57,1017593.523,4588703.312,0,5076366.512,0,0,0,2467938.07,56561.04,0,6083375.467,48601.77,239253.4,23635118.53,13401439.36,10233679.17,20511693.12,3123425.412,0,0,3633171.37,78859.93,0,0,0,0,0,0,20747.4,0,413152.18,0,0,81556.57,2670343.524,5397618.462,0,2388352.5,0,0,0,2223552.72,17116,0,6280175.406,48601.77,239253.4,21965285.26,13703319.44,8261965.827,18698041.1,3267244.169,0,0,4051989.76,78859.93,0,0,0,0,0,0,20747.4,0,404577.51,0,0,81556.57,2493428.423,4291434.905,0,1477102.5,0,0,0,2218209.51,17116,0,6386521.887,48601.77,252521.8,28144419.35,20449944.9,7694474.459,23380651.57,4763767.784,0,0,4126785.54,78859.93,0,0,0,0,0,0,46241.45,0,270932.54,0,0,81556.57,2430693.428,0,2278125,0,2985656.031,0,0,0,0,3305847.2,12177533.9,48601.77,26191.06,28913882.86,20472677.95,8441204.909,24315616.58,4598266.276,0,0,4449506.27,78859.93,0,0,0,0,0,0,46241.45,0,224268.65,0,0,81556.57,2237094.138,0,2278125,0,3925985.771,0,0,0,0,3210485.09,12007499.23,73942.99,12922.83
Rocky Mountain National Park,CO,Colorado,park,78044936.38,44988542.74,33056393.64,53365332.62,24679603.76,1146951.24,0,13108989.95,75066.3,4691.31,0,279321.71,0,383023.32,0,237771.76,0,3326124.46,0,0,0,5877605.912,25491051.67,0,1704242.066,0,0,0,13019515.24,148124.57,0,2175614.505,3658534.71,7221060.79,84100769.64,52984196.04,31116573.6,54562856.37,29537913.27,1046842.73,0,14267874.16,75066.3,4691.31,325000,301237.94,0,383023.32,0,179921.84,0,3120374.31,0,0,0,4908179.583,24500721.31,0,1819164.582,0,0,0,18217864.78,148124.57,0,3767097.788,2682717.61,8165620.64,84234244.62,53027864.12,31206380.5,56275439.27,27958805.35,935538.33,0,12670331.06,457000,4691.31,475000.87,301237.94,0,0,0,179921.84,0,2470262.93,0,0,0,4306359.017,25179375.52,0,1720645.97,0,0,0,16884253.69,148124.57,0,6730269.701,2914031.32,8669953.69,75073266.11,48788709.66,26284556.46,53123804.45,21949461.66,748689.3,0,12489730.83,457000,4621.74,800000,65547.3,0,0,0,259782,0,2876648.38,0,0,0,4798951.515,0,1309963.455,0,20175641.49,0,0,184130.09,0,16990351.86,3645211.907,3384484.36,6882511.89,62761290.18,41907028.87,20854261.32,44609815.48,18151474.7,59129.27,0,9124418.94,457000,0,800000,65547.3,0,0,0,0,0,1712205.74,0,0,0,3428725.052,0,973520.3025,0,16452015.96,0,0,127855.1,0,17087481.11,3085134.626,2967178.14,6421078.64
Roosevelt Campobello International Park,ME,Maine,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saguaro National Park,AZ,Arizona,park,23327265.64,9717783.363,13609482.27,19986604.26,3340661.378,0,0,1390231.41,0,0,56004.85,0,0,0,0,312631.8,21059.8,415449.69,0,0,0,1520917.992,12135005.13,0,0,0,0,0,6899471.91,0,0,361980.2925,0,174298.5,21601752.34,8973097.365,12628654.97,18273854.87,3327897.466,0,0,1558132.6,0,0,56004.85,0,0,0,0,0,21059.8,426840.42,0,0,0,1308375.977,11366719.85,0,0,0,0,0,6129769.86,0,0,368436.4245,0,356365.38,19971912.49,6770241.472,13201671.02,17033485.74,2938426.75,0,0,1066859.65,0,0,56004.85,0,0,0,0,0,21008.14,145296.29,0,0,0,1555641.167,11646029.85,0,0,0,0,0,4927315.12,0,0,314894.142,0,228816.1,21677274.87,11036783.83,10640491.03,18070999.71,3606275.158,0,0,1429468.83,0,0,56004.85,0,0,0,0,145056.55,21008.14,127420.82,0,0,0,1487160.783,0,0,0,9153330.251,0,0,0,0,9092499.02,6456.132,97684.61,36184.88,12869043.15,4882035.122,7987008.024,11666599.35,1202443.798,0,0,1290281.8,0,0,56004.85,0,0,0,0,145056.55,21008.14,154303.84,0,0,0,1006299.95,0,0,0,6980708.075,0,0,0,0,2940589.12,97921.332,97684.61,54184.88
Sequoia and Kings Canyon National Park,CA,California,park,200947529.3,73987873.46,126959655.8,139436463.5,61511065.79,110492.17,0,27140855.05,0,0,0,401379,0,194952,0,3355997.67,0,7027912.33,0,0,0,17206900.98,97063172.74,0,12717202.5,0,0,0,11548250.31,242692.79,0,102980.6325,9824788.98,14009952.15,169994705.1,72045985.58,97948719.51,125316982.2,44677722.85,333172.81,0,24709520.53,0,0,0,79461.45,0,15406.41,0,3338848.67,0,5262604.38,0,0,0,17178074.8,72604001.34,0,10399666.95,0,0,0,14485382.36,194000,0,170480.6325,8137475.91,13086608.85,176564467.9,72456665.05,104107802.8,106013814.1,70550653.76,333172.81,0,22164403.7,0,0,0,170567.23,0,15406.41,0,3548173.66,0,4912745.3,0,0,0,10346421.99,92694070.83,0,1067310,0,0,0,17450422.98,49600.48,0,138040.234,10163252.24,13510880.01,145379039,67489964.16,77889074.89,88626473.66,56752565.39,333172.81,0,19125855.54,0,0,0,170567.23,0,15406.41,440941.57,3346880.71,0,3192417.21,0,0,0,6921377.37,0,77787,0,70889910.52,0,0,45640.41,0,17341399.49,86003.478,10350756.69,13040922.61,160357480.9,68929175.61,91428305.33,102428537,57928943.93,236558.47,0,17280899.7,0,0,0,170567.23,0,15712.09,440941.57,2243162.21,0,1849034.61,0,0,0,5377021.905,0,1400166,0,84651117.43,0,0,45640.41,0,18376470.2,90381.8385,11069652.25,17110155.03
Shenandoah National Park,VA,Virginia,park,70945483.89,28629184.41,42316299.48,28034254.41,42911229.48,0,0,5534189.86,3875596.64,0,0,0,0,510600.62,0,42600,0,3385510.46,0,0,0,5335092.905,35955976.37,0,999574.6005,135000,0,0,3645670.47,62969.27,0,3282802.385,1529743.59,6273592.01,88765194.94,37984713.34,50780481.61,37261852.35,51503342.59,0,0,5918105.18,3875596.64,0,0,0,0,144944.62,0,34000,0,5179316.69,0,0,0,5542890.615,44472787.24,0,739148.1525,135000,0,0,4543626.14,90586.78,0,6979297.072,2396709.86,6473924.99,79208620.88,32765397.63,46443223.25,32552146.59,46656474.29,0,0,4923291,1996747.02,0,0,0,0,144944.62,0,0,0,4830211.42,0,0,0,5943732.791,39691007.52,0,673482.9375,135000,0,0,4986747.75,100947.33,0,5488017.614,2529614.85,5486579.6,75679764.19,32357327.97,43322436.23,31812423,43867341.19,0,0,4774902.66,0,0,0,0,0,0,0,0,0,4431379.8,0,0,0,7057896.917,0,669915.414,135000,35459623.89,0,0,104475.5,0,5640508.49,6335719.577,3305590.71,5615319.15,90205606.62,33985071.21,56220535.41,35609870.66,54595735.96,0,0,6192297.48,0,0,0,0,0,0,0,0,0,3880677.89,0,0,0,9970497.602,0,669915.414,263228.778,45316893.61,0,0,107194.61,0,5974989.07,6308930.771,3256610.3,6012208
Theodore Roosevelt National Park,ND,North Dakota,park,52234057.38,12053800.38,40180257,21386829.31,30847228.07,94037.32,0,4405742.67,684300,0,0,0,0,0,0,54885,0,3600590.02,0,0,152922.7,2364396.684,37621727.29,0,201301.119,0,0,0,847514.31,0,0,256512.857,1274008.13,676119.28,46798219.88,12201243.79,34596976.1,20942193.38,25856026.5,32093.53,0,4577699.44,684300,0,0,0,0,0,0,57564.48,0,1594954.86,0,0,152922.7,1993578.966,32404192.53,0,199204.596,0,0,0,486524.4,0,0,21433.545,935197.41,1008695.9,49334370.47,12155650.85,37178719.62,21018813.23,28315557.23,25793.78,0,3237411.83,684300,0,0,0,0,0,0,115643.75,0,2129660.5,0,0,152922.7,1974867.575,35040194.19,0,163657.854,0,0,0,701303.66,0,0,51588.549,935767.73,1460963.27,52270276.84,16396670.37,35873606.47,23521630.89,28748645.95,28226.75,0,7958124.56,136576,0,0,0,0,0,0,208055.49,0,1827085.37,0,0,152131.47,1816723.526,0,158112,0,33898770.95,0,0,0,0,897832.28,11036.8035,971310.7,1570082.27,40702377.41,5965578.854,34736798.56,13725467.06,26976910.35,0,0,3868001.07,0,0,0,0,0,0,0,273113.51,0,494489.43,0,0,152131.47,1574774.978,0,185328,0,32976695.58,0,0,0,0,452198.78,11036.8035,525737.32,175214.63
Virgin Islands National Park,VI,Virgin Islands,park,25469463.05,20721015.38,4748447.672,24614876.93,854586.12,0,0,9500259.71,0,0,0,0,0,0,0,281279.3,1109870.26,1264515.41,1696686,0,0,846471.3014,3971299.923,0,0,0,0,0,943674.81,0,0,283068,1911952.21,3175672.13,33299680.12,26537443.44,6762236.678,32189116.51,1110563.61,136172.79,0,10420304.42,0,0,0,0,0,0,0,281279.3,1376988.18,1369292.07,2669902.52,0,0,1596377.079,5235183.152,0,0,0,0,0,1917719.81,0,0,621189.135,3122752.21,4067805.45,26553028.72,21213811.04,5339217.671,25480095.33,1072933.39,136172.79,0,5554839.6,0,0,0,0,0,0,0,281279.3,1084073.82,913294.25,1201771.05,0,0,1027316.788,4311900.882,0,0,0,0,0,1804774.12,0,0,939648.745,3570101.38,5243141.99,16817535.62,12049352.27,4768183.355,16064602.23,752933.39,302970.48,0,4262732.22,0,0,0,0,0,0,0,121450,764073.82,411519.28,1201771.05,0,0,840858.3405,0,0,0,3927325.014,0,0,0,0,1403981.39,1102573.89,1582250.14,411316,14218296.41,9832621.963,4385674.451,12932055.44,1286240.97,302970.48,0,3765475.06,0,0,0,0,0,0,0,0,1297381.4,148313.35,484144.05,0,0,710805.9957,0,0,0,3674868.455,0,0,0,0,1132335.12,1102433.503,1463224,87231
Voyageurs National Park,MN,Minnesota,park,13447127.6,8030375.434,5416752.164,12188789.86,1258337.74,0,0,2037316.39,822343.82,0,0,0,0,125293.96,0,842083,0,718727.59,1861158.78,0,0,687588.5205,4730927.216,0,0,0,0,0,1374004.46,0,0,48466.4715,146541.07,52676.32,9843565.165,8027559.367,1816005.798,8105778.125,1737787.04,0,0,2703850.68,817795.98,0,0,45887.9,0,44659.83,0,147933,0,1362802.36,1470547.84,0,0,1763.5725,1816005.798,0,0,0,0,0,1221770.52,0,0,5216.2245,148687.12,56644.34,14875388.2,8804531.989,6070856.208,13214459.94,1660928.26,0,0,2436684.1,753944.3,0,0,45887.9,0,44659.83,0,579962,0,1711906.76,1399380.75,0,0,568979.7485,5501876.46,0,0,0,0,0,1616560.35,0,0,5170.9185,102146.48,108228.6,17341696.23,8105005.049,9236691.185,15448008.49,1893687.74,0,0,2777002.83,34071.59,0,0,45887.9,0,44659.83,0,579962,0,1896937.04,1187918.65,0,0,2260827.113,0,0,0,6975864.072,0,0,0,0,1468758.69,5170.9185,11407.6,53228,15965764.47,7052025.559,8913738.912,14130805.5,1834958.97,0,0,2686680.25,34071.59,0,0,126937.8,0,44659.83,0,579962,0,1465288.84,685845.05,0,0,1916191.869,0,0,0,6997547.042,0,0,0,0,1263955.98,5170.9185,11407.6,148045.7
Western Arctic National Parklands,AK,Alaska,park,915408.11,915408.11,0,915408.11,0,0,0,682405.19,208000,0,0,0,0,25002.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443808.68,443808.68,0,443808.68,0,0,0,415665.56,0,0,0,0,0,28143.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401099.97,401099.97,0,399363.43,1736.54,0,0,366892.2,0,0,0,0,0,34207.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269034.95,269034.95,0,267298.41,1736.54,0,0,233430.54,0,0,0,0,0,35604.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365942.06,365942.06,0,364205.52,1736.54,0,0,330337.65,0,0,0,0,0,35604.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Sands National Park,NM,New Mexico,park,6403635.949,6173477.241,230158.7075,3635342.669,2768293.28,0,0,3238831.42,0,0,0,0,74303.35,0,0,345274.38,0,369363.09,0,0,0,273197.4828,103153.6157,0,0,0,0,0,418325.08,0,0,188979.48,357619.05,901427.77,3114554.515,2941375.84,173178.675,2330534.515,784020,0,0,1062162.48,0,0,0,0,74303.35,0,0,328804.4,0,291401.35,0,0,0,113430.267,59748.408,0,0,0,0,0,252915.88,0,0,0,350070.55,462100,2580077.149,2386943.3,193133.8485,1780147.699,799929.45,0,0,987246.91,0,0,0,0,74303.35,0,0,328804.4,0,243377.7,0,0,0,109427.0715,83706.777,0,0,0,0,0,164486.4,0,0,0,350070.55,66036.16,1862954.67,1862954.67,0,1398869.81,464084.86,0,0,842640.98,0,0,0,0,53735.96,0,0,340130,0,34241.76,0,0,0,0,0,0,0,0,0,0,0,0,134949.12,0,304985.95,33389.03,3222333.626,854816.31,2367517.316,2847554.276,374779.35,0,0,685388.87,0,0,0,0,0,0,0,0,0,0,0,0,0,97823.997,0,0,0,2269693.319,0,0,0,0,0,0,17067,33478.57
Wind Cave National Park,SD,South Dakota,park,20579059.13,13897458.54,6681600.59,17008167.89,3570891.241,0,0,3069889.64,209984.05,0,0,3323992.76,0,0,0,1703892.5,0,883317.4,0,0,0,1005701.819,5237155.197,0,447554.835,0,0,0,802386.15,452.33,0,2446250.131,294732.71,1027576.42,16485191.71,13768023.53,2717168.18,13111338.64,3373853.072,0,0,2995927.2,209984.05,0,0,3825228.4,0,0,0,1703892.5,0,872732.57,0,0,0,494791.821,1843746.179,0,378630.18,0,0,0,647368.28,452.33,0,1666561.114,294732.71,1097439.97,20428419.08,10197550.03,10230869.06,18015934.48,2412484.606,0,0,1595376.81,91500,0,0,3794772.7,0,20144.1,0,1703892.5,0,279976.78,0,0,0,617622.2274,9204916.651,0,408330.18,0,0,0,721696.9,452.33,0,109687.8555,262551.44,1097439.97,16385254.49,6621467.999,9763786.494,14225187.34,2160067.152,0,0,1024800.98,20000,0,0,1276976.32,0,19506.8,0,1702500,0,263400.58,0,0,0,426144.294,0,408330.18,0,8929312.02,0,0,452.33,0,661294.83,93061.629,0,741705.36,12846435.11,3394004.109,9452430.998,11084885.74,1761549.371,0,0,898880.85,0,0,0,1276976.32,0,20206.8,0,0,0,238994.88,0,0,0,419293.8485,0,209395.8945,0,8823741.255,0,0,452.33,0,411665.21,74836.629,0,104221.92
Wrangell St Elias National Park,AK,Alaska,park,16068557.17,14675603.8,1392953.374,9311818.484,6756738.69,0,285950.25,8765039.51,1570000,0,0,0,0,0,0,37800,0,689680.24,0,0,0,1151379.96,212705.7432,0,28867.671,0,0,0,2516230.92,0,0,150000,304877.99,356024.89,16980268.95,15451110.15,1529158.795,6528066.015,10452202.93,0,361679.46,9330525.38,0,0,0,511.63,0,3620.01,0,82652.12,0,2013165.83,0,0,0,1091141.206,203615.8738,0,234401.715,0,0,0,3065005.62,0,0,0,269411.14,324538.96,17037882.28,15591525.54,1446356.744,7672826.974,9365055.31,0,452046.46,9942069.01,0,0,0,511.63,0,3620.01,0,88152.12,0,1529788.35,0,0,0,992135.8042,230093.3454,0,224127.594,0,0,0,3498619.67,0,0,0,40820.14,35898.15,19271905.74,17836641.76,1435263.975,9510906.525,9760999.21,0,410898.64,10368066.47,0,0,0,511.63,0,3620.01,0,75392.12,0,1529788.35,0,0,0,985327.1325,0,205534.044,0,244402.7985,0,0,2271.5,0,5389708.82,0,40820.14,15564.08,19403782.83,18563644.22,840138.6093,10901246.05,8502536.78,0,410898.64,9294709.56,0,0,0,44824.03,0,3620.01,0,64932.12,0,1538272.11,0,0,0,390776.9148,0,205534.044,0,243827.6506,0,0,2271.5,0,7108398.1,0,80154.07,15564.08
Yellowstone National Park,Total,Total,park,740613125.6,169889688.9,570723436.7,293595864,447017261.6,2933322.14,0,101829576.4,2718091.86,0,0,318272.13,0,487462.94,269253.17,2231722.93,0,8893732.83,794942.41,0,15789.62,31625827.01,414647425,0,124507561.1,0,0,446000,24999556.48,203904.16,0,3483506.817,11130882.21,9076296.36,585548997.1,216115687.9,369433309.2,267605138.9,317943858.2,2933322.14,0,108087051.9,2748091.86,0,0,305172.93,0,415977.7,362603.54,2152679.2,0,8719752.62,794942.41,0,15547.46,26559145.61,275530805.8,0,67356729.28,0,0,446000,23967755.4,266306.01,0,3483506.817,18957490.68,42446115.77,515808707.4,220135351,295673356.4,260482276.7,255326430.7,2911834.18,0,108415473.8,2726640,0,0,223292.93,0,415977.7,712633.38,1956211.7,0,7995375.63,763942.01,0,15547.46,23877851.43,216591107.3,0,55204397.68,0,0,446000,20772399.75,106369.05,0,3948067.314,19254141.66,49471444.48,663268388.6,199582558.1,463685830.5,351806517.2,311461871.4,3706700,0,92865527.81,3608029,0,0,136092.93,0,1470049.27,932110.93,1182862.71,0,1833309.76,763942.01,0,337.44,52728004.28,0,59726952.75,0,351230873.4,0,446000,94369.05,0,25780487.44,2188327.388,18908010.09,45666402.31,631679666.2,222597994.3,409081672,354262008.1,277417658,3400000,0,103968388.2,3779504,0,0,136092.93,0,1527249.36,672081.09,716496.71,0,10030403.52,748025.21,0,0,76224579.41,0,30401750.93,0,302455341.6,0,446000,68953.04,0,20336935.53,2869472.035,21104176.33,52794216.42
Yosemite National Park,CA,California,park,643020990.4,279293896.1,363727094.3,310194402.1,332826588.2,259560.62,0,97302192.23,1696867.37,0,0,24306033.98,0,12523.12,0,24831.44,0,9409253.02,1.27,0,0,41225902.21,312095145.6,0,6777553.5,3669935.513,0,809023,21960315.35,2645125.31,0,4390952.382,68675618.86,47760155.56,645657600.6,274373152.7,371284447.9,303005482.8,342652117.7,30553.87,0,101392942,2490367.37,0,0,19053376.95,0,27459.21,0,19146,0,9613724.47,1.27,0,0,42466059.77,313890784.8,0,8216166.15,6752879.699,0,807611.45,18315343.54,2821605.46,0,2097297.752,68009287.45,49652993.37,582670827.4,281587002.1,301083825.3,293114620.3,289556207.1,29298.15,0,102879455.4,4092213.96,0,0,17879769.28,0,27459.21,0,0,0,10262874.74,1.27,175.47,0,35873735.44,254232201.8,0,4632784.2,6345103.883,0,807611.45,20209103.28,2796462.19,0,2114155.291,67959576.99,52528845.42,555086179,323059102.4,232027076.6,303970426.6,251115752.4,58587.88,0,132262795.5,3462213.96,0,0,20855512.66,0,27052.97,0,0,0,11176808.15,1.27,175.77,0,34594210.72,0,4627033.2,6193506.254,186612326.5,0,866461.45,3094607.86,0,18826343.95,2062081.692,77045060.3,53321398.94,555015819.4,284382005.4,270633814.1,268953960.5,286061859,52791.88,0,123952809.6,2814064.37,0,0,16306962.97,0,27052.97,0,0,0,9641531.82,1.27,0,0,33898549.4,0,4627033.2,6193506.254,225914725.2,0,56461.45,4189124.47,0,17691712.06,2775882.007,73624178.04,33249432.41
Zion National Park,UT,Utah,park,68195935.3,26304748.92,41891186.38,43152341.11,25043594.19,29643.32,0,13645830.51,127282,74403,0,0,0,0,0,254000,0,5435507.3,0,0,101669,4797202.59,34546648.72,0,1637347.5,1015841.25,0,0,3865702.21,74550.71,0,186107.895,287444.4,2116754.9,67552651.35,26142861.82,41409789.53,42870704.69,24681946.65,2147.53,0,13682825.44,117311,363204,0,0,0,539.92,0,254000,27115.5,4599915.35,0,0,101669,5503013.141,33406583.1,0,1595342.25,1015841.25,0,0,3913561.85,74550.71,0,35873.1585,352557.29,1985266.62,65291892.99,25623197.55,39668695.44,41784125.88,23507767.11,2147.53,0,13216908.2,117311,363204,0,0,0,539.92,0,254000,27115.5,4543434.62,0,0,101669,5892464.75,33520875.71,0,0,255354.9705,0,0,4210893.33,87816.51,0,2174.5125,450182.29,1872964.18,70044814.77,20726179.12,49318635.65,50375832.76,19668982.01,2147.53,0,8401905.35,0,363204,0,0,0,13539.92,0,475399.1,27115.5,3591420.46,0,0,101669,4353749.258,0,374287.6215,265641.9705,44324956.8,0,0,242991.14,0,3675360.85,2377.0125,516148.13,2012329.45,69848826.76,15780490.77,54068335.99,53028880.24,16819946.52,2147.53,0,7522255.38,0,744444.02,0,0,0,13000,0,67573.09,27115.5,1910986.02,0,0,0,6527633.357,0,1361313,60007.5,46119382.14,0,0,216728.73,0,2606316.43,2377.0125,418523.13,948452.25
Western Arctic National Parklands,AK,Alaska,park,915408.11,915408.11,0,915408.11,0,0,0,682405.19,208000,0,0,0,0,25002.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443808.68,443808.68,0,443808.68,0,0,0,415665.56,0,0,0,0,0,28143.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401099.97,401099.97,0,399363.43,1736.54,0,0,366892.2,0,0,0,0,0,34207.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269034.95,269034.95,0,267298.41,1736.54,0,0,233430.54,0,0,0,0,0,35604.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365942.06,365942.06,0,364205.52,1736.54,0,0,330337.65,0,0,0,0,0,35604.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
