Park Name,Year,Visitation
Acadia NP,2022,3970260
Acadia NP,2021,4069098
Acadia NP,2020,2669034
Acadia NP,2019,3437286
Acadia NP,2018,3537575
Acadia NP,2017,3509271
Acadia NP,2016,3303393
Acadia NP,2015,2811184
Acadia NP,2014,2563129
Acadia NP,2013,2254922
Acadia NP,2012,2431052
Acadia NP,2011,2374645
Arches NP,2022,1460652
Arches NP,2021,1806865
Arches NP,2020,1238083
Arches NP,2019,1659702
Arches NP,2018,1663557
Arches NP,2017,1539028
Arches NP,2016,1585718
Arches NP,2015,1399247
Arches NP,2014,1284767
Arches NP,2013,1082866
Arches NP,2012,1070577
Arches NP,2011,1040758
Badlands NP,2022,1006809
Badlands NP,2021,1224226
Badlands NP,2020,916932
Badlands NP,2019,970998
Badlands NP,2018,1008942
Badlands NP,2017,1054325
Badlands NP,2016,996263
Badlands NP,2015,989354
Badlands NP,2014,868094
Badlands NP,2013,892372
Badlands NP,2012,883406
Badlands NP,2011,870741
Big Bend NP,2022,514107
Big Bend NP,2021,581220
Big Bend NP,2020,393907
Big Bend NP,2019,463832
Big Bend NP,2018,440091
Big Bend NP,2017,440276
Big Bend NP,2016,388290
Big Bend NP,2015,381747
Big Bend NP,2014,314102
Big Bend NP,2013,316953
Big Bend NP,2012,292055
Big Bend NP,2011,361862
Biscayne NP,2022,701023
Biscayne NP,2021,705655
Biscayne NP,2020,402770
Biscayne NP,2019,708522
Biscayne NP,2018,469253
Biscayne NP,2017,446961
Biscayne NP,2016,514709
Biscayne NP,2015,508164
Biscayne NP,2014,525745
Biscayne NP,2013,486848
Biscayne NP,2012,495613
Biscayne NP,2011,476077
Black Canyon of the Gunnison NP,2022,297257
Black Canyon of the Gunnison NP,2021,308910
Black Canyon of the Gunnison NP,2020,341620
Black Canyon of the Gunnison NP,2019,432818
Black Canyon of the Gunnison NP,2018,308962
Black Canyon of the Gunnison NP,2017,307143
Black Canyon of the Gunnison NP,2016,238018
Black Canyon of the Gunnison NP,2015,209166
Black Canyon of the Gunnison NP,2014,183045
Black Canyon of the Gunnison NP,2013,175852
Black Canyon of the Gunnison NP,2012,192570
Black Canyon of the Gunnison NP,2011,168336
Bryce Canyon NP,2022,2354660
Bryce Canyon NP,2021,2104600
Bryce Canyon NP,2020,1464655
Bryce Canyon NP,2019,2594904
Bryce Canyon NP,2018,2679478
Bryce Canyon NP,2017,2571684
Bryce Canyon NP,2016,2365110
Bryce Canyon NP,2015,1745804
Bryce Canyon NP,2014,1435741
Bryce Canyon NP,2013,1311875
Bryce Canyon NP,2012,1385352
Bryce Canyon NP,2011,1296000
Canyonlands NP,2022,779147
Canyonlands NP,2021,911594
Canyonlands NP,2020,493914
Canyonlands NP,2019,733996
Canyonlands NP,2018,739449
Canyonlands NP,2017,742271
Canyonlands NP,2016,776218
Canyonlands NP,2015,634607
Canyonlands NP,2014,542431
Canyonlands NP,2013,462242
Canyonlands NP,2012,452952
Canyonlands NP,2011,473773
Capitol Reef NP,2022,1227608
Capitol Reef NP,2021,1405353
Capitol Reef NP,2020,981038
Capitol Reef NP,2019,1226519
Capitol Reef NP,2018,1227627
Capitol Reef NP,2017,1150165
Capitol Reef NP,2016,1064904
Capitol Reef NP,2015,941029
Capitol Reef NP,2014,786514
Capitol Reef NP,2013,663670
Capitol Reef NP,2012,673345
Capitol Reef NP,2011,668834
Carlsbad Caverns NP,2022,390932
Carlsbad Caverns NP,2021,349244
Carlsbad Caverns NP,2020,183835
Carlsbad Caverns NP,2019,440691
Carlsbad Caverns NP,2018,465912
Carlsbad Caverns NP,2017,520026
Carlsbad Caverns NP,2016,466773
Carlsbad Caverns NP,2015,445720
Carlsbad Caverns NP,2014,397309
Carlsbad Caverns NP,2013,388566
Carlsbad Caverns NP,2012,381058
Carlsbad Caverns NP,2011,365000
Channel Islands NP,2022,323245
Channel Islands NP,2021,319252
Channel Islands NP,2020,167290
Channel Islands NP,2019,409630
Channel Islands NP,2018,366250
Channel Islands NP,2017,383687
Channel Islands NP,2016,364807
Channel Islands NP,2015,324816
Channel Islands NP,2014,342161
Channel Islands NP,2013,212029
Channel Islands NP,2012,249594
Channel Islands NP,2011,242756
Congaree NP,2022,204522
Congaree NP,2021,215181
Congaree NP,2020,119306
Congaree NP,2019,159445
Congaree NP,2018,145929
Congaree NP,2017,159595
Congaree NP,2016,143843
Congaree NP,2015,87513
Congaree NP,2014,120122
Congaree NP,2013,120340
Congaree NP,2012,109685
Congaree NP,2011,120166
Crater Lake NP,2022,527259
Crater Lake NP,2021,647751
Crater Lake NP,2020,670500
Crater Lake NP,2019,704512
Crater Lake NP,2018,720659
Crater Lake NP,2017,711749
Crater Lake NP,2016,756344
Crater Lake NP,2015,614712
Crater Lake NP,2014,535508
Crater Lake NP,2013,523027
Crater Lake NP,2012,447251
Crater Lake NP,2011,423551
Cuyahoga Valley NP,2022,2913312
Cuyahoga Valley NP,2021,2575275
Cuyahoga Valley NP,2020,2755628
Cuyahoga Valley NP,2019,2237997
Cuyahoga Valley NP,2018,2096053
Cuyahoga Valley NP,2017,2226879
Cuyahoga Valley NP,2016,2423390
Cuyahoga Valley NP,2015,2284612
Cuyahoga Valley NP,2014,2189849
Cuyahoga Valley NP,2013,2103010
Cuyahoga Valley NP,2012,2299722
Cuyahoga Valley NP,2011,2161185
Death Valley NP,2022,1128862
Death Valley NP,2021,1146551
Death Valley NP,2020,820023
Death Valley NP,2019,1740945
Death Valley NP,2018,1678660
Death Valley NP,2017,1294827
Death Valley NP,2016,1296283
Death Valley NP,2015,1154843
Death Valley NP,2014,1101312
Death Valley NP,2013,951972
Death Valley NP,2012,984568
Death Valley NP,2011,946867
Denali NP & PRES,2022,427562
Denali NP & PRES,2021,229521
Denali NP & PRES,2020,54850
Denali NP & PRES,2019,601152
Denali NP & PRES,2018,594660
Denali NP & PRES,2017,642809
Denali NP & PRES,2016,587412
Denali NP & PRES,2015,560757
Denali NP & PRES,2014,531315
Denali NP & PRES,2013,530922
Denali NP & PRES,2012,388433
Denali NP & PRES,2011,406582
Dry Tortugas NP,2022,78488
Dry Tortugas NP,2021,83817
Dry Tortugas NP,2020,48543
Dry Tortugas NP,2019,79200
Dry Tortugas NP,2018,56810
Dry Tortugas NP,2017,54281
Dry Tortugas NP,2016,73661
Dry Tortugas NP,2015,70862
Dry Tortugas NP,2014,64865
Dry Tortugas NP,2013,58401
Dry Tortugas NP,2012,60550
Dry Tortugas NP,2011,75171
Everglades NP,2022,1155193
Everglades NP,2021,942130
Everglades NP,2020,702319
Everglades NP,2019,1118300
Everglades NP,2018,597124
Everglades NP,2017,1018557
Everglades NP,2016,930907
Everglades NP,2015,1077427
Everglades NP,2014,1110901
Everglades NP,2013,1047116
Everglades NP,2012,1141906
Everglades NP,2011,934351
Gates of the Arctic NP & PRES,2022,9457
Gates of the Arctic NP & PRES,2021,7362
Gates of the Arctic NP & PRES,2020,2872
Gates of the Arctic NP & PRES,2019,10518
Gates of the Arctic NP & PRES,2018,9591
Gates of the Arctic NP & PRES,2017,11177
Gates of the Arctic NP & PRES,2016,10047
Gates of the Arctic NP & PRES,2015,10745
Gates of the Arctic NP & PRES,2014,12669
Gates of the Arctic NP & PRES,2013,11012
Gates of the Arctic NP & PRES,2012,10899
Gates of the Arctic NP & PRES,2011,11623
Gateway Arch NP,2022,1618774
Gateway Arch NP,2021,1145081
Gateway Arch NP,2020,486021
Gateway Arch NP,2019,2055309
Gateway Arch NP,2018,2016180
Gateway Arch NP,2017,1398188
Gateway Arch NP,2016,1271855
Gateway Arch NP,2015,1698656
Gateway Arch NP,2014,1817091
Gateway Arch NP,2013,2377258
Gateway Arch NP,2012,2496726
Gateway Arch NP,2011,2259020
Glacier Bay NP & PRES,2022,545758
Glacier Bay NP & PRES,2021,89768
Glacier Bay NP & PRES,2020,5748
Glacier Bay NP & PRES,2019,672087
Glacier Bay NP & PRES,2018,597915
Glacier Bay NP & PRES,2017,547057
Glacier Bay NP & PRES,2016,520171
Glacier Bay NP & PRES,2015,551353
Glacier Bay NP & PRES,2014,500727
Glacier Bay NP & PRES,2013,500590
Glacier Bay NP & PRES,2012,454337
Glacier Bay NP & PRES,2011,431986
Glacier NP,2022,2908458
Glacier NP,2021,3081656
Glacier NP,2020,1698864
Glacier NP,2019,3049839
Glacier NP,2018,2965309
Glacier NP,2017,3305512
Glacier NP,2016,2946681
Glacier NP,2015,2366056
Glacier NP,2014,2338528
Glacier NP,2013,2190374
Glacier NP,2012,2162035
Glacier NP,2011,1853564
Grand Canyon NP,2022,4732101
Grand Canyon NP,2021,4532677
Grand Canyon NP,2020,2897098
Grand Canyon NP,2019,5974411
Grand Canyon NP,2018,6380495
Grand Canyon NP,2017,6254238
Grand Canyon NP,2016,5969811
Grand Canyon NP,2015,5520736
Grand Canyon NP,2014,4756771
Grand Canyon NP,2013,4564840
Grand Canyon NP,2012,4421352
Grand Canyon NP,2011,4298178
Grand Teton NP,2022,2806223
Grand Teton NP,2021,3885230
Grand Teton NP,2020,3289638
Grand Teton NP,2019,3405614
Grand Teton NP,2018,3491151
Grand Teton NP,2017,3317000
Grand Teton NP,2016,3270076
Grand Teton NP,2015,3149921
Grand Teton NP,2014,2791392
Grand Teton NP,2013,2688794
Grand Teton NP,2012,2705256
Grand Teton NP,2011,2587437
Great Basin NP,2022,142115
Great Basin NP,2021,144875
Great Basin NP,2020,120248
Great Basin NP,2019,131802
Great Basin NP,2018,153094
Great Basin NP,2017,168028
Great Basin NP,2016,144846
Great Basin NP,2015,116123
Great Basin NP,2014,107526
Great Basin NP,2013,92893
Great Basin NP,2012,94850
Great Basin NP,2011,91451
Great Sand Dunes NP & PRES,2022,493428
Great Sand Dunes NP & PRES,2021,602613
Great Sand Dunes NP & PRES,2020,461532
Great Sand Dunes NP & PRES,2019,527546
Great Sand Dunes NP & PRES,2018,442905
Great Sand Dunes NP & PRES,2017,486935
Great Sand Dunes NP & PRES,2016,388308
Great Sand Dunes NP & PRES,2015,299513
Great Sand Dunes NP & PRES,2014,271774
Great Sand Dunes NP & PRES,2013,242841
Great Sand Dunes NP & PRES,2012,254674
Great Sand Dunes NP & PRES,2011,280058
Great Smoky Mountains NP,2022,12937633
Great Smoky Mountains NP,2021,14161548
Great Smoky Mountains NP,2020,12095720
Great Smoky Mountains NP,2019,12547743
Great Smoky Mountains NP,2018,11421200
Great Smoky Mountains NP,2017,11338893
Great Smoky Mountains NP,2016,11312786
Great Smoky Mountains NP,2015,10712674
Great Smoky Mountains NP,2014,10099276
Great Smoky Mountains NP,2013,9354695
Great Smoky Mountains NP,2012,9685829
Great Smoky Mountains NP,2011,9008830
Guadalupe Mountains NP,2022,219987
Guadalupe Mountains NP,2021,243291
Guadalupe Mountains NP,2020,151256
Guadalupe Mountains NP,2019,188833
Guadalupe Mountains NP,2018,172347
Guadalupe Mountains NP,2017,225257
Guadalupe Mountains NP,2016,181839
Guadalupe Mountains NP,2015,169535
Guadalupe Mountains NP,2014,166868
Guadalupe Mountains NP,2013,145670
Guadalupe Mountains NP,2012,159360
Guadalupe Mountains NP,2011,152546
Haleakala NP,2022,1087616
Haleakala NP,2021,853181
Haleakala NP,2020,319147
Haleakala NP,2019,994394
Haleakala NP,2018,1044084
Haleakala NP,2017,1112390
Haleakala NP,2016,1263558
Haleakala NP,2015,1216772
Haleakala NP,2014,1142040
Haleakala NP,2013,785300
Haleakala NP,2012,1094668
Haleakala NP,2011,956989
Hawaii Volcanoes NP,2022,1580961
Hawaii Volcanoes NP,2021,1262747
Hawaii Volcanoes NP,2020,589775
Hawaii Volcanoes NP,2019,1368376
Hawaii Volcanoes NP,2018,1116891
Hawaii Volcanoes NP,2017,2016702
Hawaii Volcanoes NP,2016,1887580
Hawaii Volcanoes NP,2015,1832660
Hawaii Volcanoes NP,2014,1693005
Hawaii Volcanoes NP,2013,1583209
Hawaii Volcanoes NP,2012,1483928
Hawaii Volcanoes NP,2011,1352123
Hot Springs NP,2022,2646133
Hot Springs NP,2021,2162884
Hot Springs NP,2020,1348215
Hot Springs NP,2019,1467153
Hot Springs NP,2018,1506887
Hot Springs NP,2017,1561616
Hot Springs NP,2016,1544300
Hot Springs NP,2015,1418162
Hot Springs NP,2014,1424484
Hot Springs NP,2013,1325719
Hot Springs NP,2012,1302505
Hot Springs NP,2011,1396354
Indiana Dunes NP,2022,2834180
Indiana Dunes NP,2021,3177210
Indiana Dunes NP,2020,2293106
Indiana Dunes NP,2019,2134285
Indiana Dunes NP,2018,1756079
Indiana Dunes NP,2017,2158471
Indiana Dunes NP,2016,1698223
Indiana Dunes NP,2015,1640195
Indiana Dunes NP,2014,1553372
Indiana Dunes NP,2013,1681695
Indiana Dunes NP,2012,1889381
Indiana Dunes NP,2011,1840513
Isle Royale NP,2022,25454
Isle Royale NP,2021,25844
Isle Royale NP,2020,6493
Isle Royale NP,2019,26410
Isle Royale NP,2018,25798
Isle Royale NP,2017,28196
Isle Royale NP,2016,24966
Isle Royale NP,2015,18684
Isle Royale NP,2014,14560
Isle Royale NP,2013,16274
Isle Royale NP,2012,16663
Isle Royale NP,2011,15892
Joshua Tree NP,2022,3058294
Joshua Tree NP,2021,3064400
Joshua Tree NP,2020,2399542
Joshua Tree NP,2019,2988547
Joshua Tree NP,2018,2942382
Joshua Tree NP,2017,2853619
Joshua Tree NP,2016,2505286
Joshua Tree NP,2015,2025756
Joshua Tree NP,2014,1589904
Joshua Tree NP,2013,1383340
Joshua Tree NP,2012,1396117
Joshua Tree NP,2011,1396237
Katmai NP & PRES,2022,33908
Katmai NP & PRES,2021,24764
Katmai NP & PRES,2020,51511
Katmai NP & PRES,2019,84167
Katmai NP & PRES,2018,37818
Katmai NP & PRES,2017,37818
Katmai NP & PRES,2016,37818
Katmai NP & PRES,2015,37818
Katmai NP & PRES,2014,30896
Katmai NP & PRES,2013,28966
Katmai NP & PRES,2012,39818
Katmai NP & PRES,2011,48939
Kenai Fjords NP,2022,389943
Kenai Fjords NP,2021,411782
Kenai Fjords NP,2020,115882
Kenai Fjords NP,2019,356601
Kenai Fjords NP,2018,321596
Kenai Fjords NP,2017,303598
Kenai Fjords NP,2016,346534
Kenai Fjords NP,2015,296697
Kenai Fjords NP,2014,270666
Kenai Fjords NP,2013,283502
Kenai Fjords NP,2012,281279
Kenai Fjords NP,2011,346852
Kings Canyon NP,2022,640986
Kings Canyon NP,2021,562918
Kings Canyon NP,2020,415077
Kings Canyon NP,2019,632110
Kings Canyon NP,2018,699023
Kings Canyon NP,2017,692932
Kings Canyon NP,2016,607479
Kings Canyon NP,2015,468106
Kings Canyon NP,2014,502268
Kings Canyon NP,2013,567544
Kings Canyon NP,2012,591033
Kings Canyon NP,2011,566810
Kobuk Valley NP,2022,16925
Kobuk Valley NP,2021,11540
Kobuk Valley NP,2020,11185
Kobuk Valley NP,2019,15766
Kobuk Valley NP,2018,14937
Kobuk Valley NP,2017,15500
Kobuk Valley NP,2016,15500
Kobuk Valley NP,2015,0
Kobuk Valley NP,2014,0
Kobuk Valley NP,2013,16875
Kobuk Valley NP,2012,29550
Kobuk Valley NP,2011,11485
Lake Clark NP & PRES,2022,18187
Lake Clark NP & PRES,2021,18278
Lake Clark NP & PRES,2020,4948
Lake Clark NP & PRES,2019,17157
Lake Clark NP & PRES,2018,14479
Lake Clark NP & PRES,2017,22755
Lake Clark NP & PRES,2016,21102
Lake Clark NP & PRES,2015,17818
Lake Clark NP & PRES,2014,16100
Lake Clark NP & PRES,2013,13000
Lake Clark NP & PRES,2012,11639
Lake Clark NP & PRES,2011,5158
Lassen Volcanic NP,2022,446291
Lassen Volcanic NP,2021,359635
Lassen Volcanic NP,2020,542274
Lassen Volcanic NP,2019,517039
Lassen Volcanic NP,2018,499435
Lassen Volcanic NP,2017,507256
Lassen Volcanic NP,2016,536068
Lassen Volcanic NP,2015,468092
Lassen Volcanic NP,2014,432977
Lassen Volcanic NP,2013,427409
Lassen Volcanic NP,2012,407653
Lassen Volcanic NP,2011,351269
Mammoth Cave NP,2022,663147
Mammoth Cave NP,2021,515774
Mammoth Cave NP,2020,290392
Mammoth Cave NP,2019,551590
Mammoth Cave NP,2018,533206
Mammoth Cave NP,2017,587853
Mammoth Cave NP,2016,586514
Mammoth Cave NP,2015,566895
Mammoth Cave NP,2014,522628
Mammoth Cave NP,2013,494541
Mammoth Cave NP,2012,508054
Mammoth Cave NP,2011,483319
Mesa Verde NP,2022,499790
Mesa Verde NP,2021,548477
Mesa Verde NP,2020,287477
Mesa Verde NP,2019,556203
Mesa Verde NP,2018,563420
Mesa Verde NP,2017,613788
Mesa Verde NP,2016,583527
Mesa Verde NP,2015,547325
Mesa Verde NP,2014,501563
Mesa Verde NP,2013,460237
Mesa Verde NP,2012,488860
Mesa Verde NP,2011,572329
Mount Rainier NP,2022,1622395
Mount Rainier NP,2021,1670063
Mount Rainier NP,2020,1160754
Mount Rainier NP,2019,1501621
Mount Rainier NP,2018,1518491
Mount Rainier NP,2017,1415867
Mount Rainier NP,2016,1356913
Mount Rainier NP,2015,1237231
Mount Rainier NP,2014,1264259
Mount Rainier NP,2013,1148552
Mount Rainier NP,2012,1049178
Mount Rainier NP,2011,1038229
National Park of American Samoa,2022,1887
National Park of American Samoa,2021,8495
National Park of American Samoa,2020,4819
National Park of American Samoa,2019,60006
National Park of American Samoa,2018,28626
National Park of American Samoa,2017,69468
National Park of American Samoa,2016,28892
National Park of American Samoa,2015,13892
National Park of American Samoa,2014,13953
National Park of American Samoa,2013,17919
National Park of American Samoa,2012,10440
National Park of American Samoa,2011,8716
New River Gorge NP & PRES,2022,1593523
New River Gorge NP & PRES,2021,1682720
New River Gorge NP & PRES,2020,1054374
New River Gorge NP & PRES,2019,1195721
New River Gorge NP & PRES,2018,1232627
New River Gorge NP & PRES,2017,1168658
New River Gorge NP & PRES,2016,1197931
New River Gorge NP & PRES,2015,1178753
New River Gorge NP & PRES,2014,1124799
New River Gorge NP & PRES,2013,1071823
New River Gorge NP & PRES,2012,1128195
New River Gorge NP & PRES,2011,1071088
North Cascades NP,2022,30154
North Cascades NP,2021,17855
North Cascades NP,2020,30885
North Cascades NP,2019,38208
North Cascades NP,2018,30085
North Cascades NP,2017,30326
North Cascades NP,2016,28646
North Cascades NP,2015,20677
North Cascades NP,2014,23865
North Cascades NP,2013,21623
North Cascades NP,2012,26935
North Cascades NP,2011,19208
Olympic NP,2022,2432972
Olympic NP,2021,2718925
Olympic NP,2020,2499177
Olympic NP,2019,3245806
Olympic NP,2018,3104455
Olympic NP,2017,3401996
Olympic NP,2016,3390221
Olympic NP,2015,3263761
Olympic NP,2014,3243872
Olympic NP,2013,3085340
Olympic NP,2012,2824908
Olympic NP,2011,2966502
Petrified Forest NP,2022,505209
Petrified Forest NP,2021,590334
Petrified Forest NP,2020,384483
Petrified Forest NP,2019,643588
Petrified Forest NP,2018,644922
Petrified Forest NP,2017,627757
Petrified Forest NP,2016,643274
Petrified Forest NP,2015,793225
Petrified Forest NP,2014,836799
Petrified Forest NP,2013,644648
Petrified Forest NP,2012,664857
Petrified Forest NP,2011,614054
Pinnacles NP,2022,275023
Pinnacles NP,2021,348857
Pinnacles NP,2020,165740
Pinnacles NP,2019,177224
Pinnacles NP,2018,222152
Pinnacles NP,2017,233334
Pinnacles NP,2016,215555
Pinnacles NP,2015,206533
Pinnacles NP,2014,196635
Pinnacles NP,2013,237677
Pinnacles NP,2012,224476
Pinnacles NP,2011,393219
Redwood NP,2022,458400
Redwood NP,2021,435879
Redwood NP,2020,265177
Redwood NP,2019,504722
Redwood NP,2018,482536
Redwood NP,2017,445000
Redwood NP,2016,536297
Redwood NP,2015,527143
Redwood NP,2014,429166
Redwood NP,2013,393364
Redwood NP,2012,352517
Redwood NP,2011,380167
Rocky Mountain NP,2022,4300424
Rocky Mountain NP,2021,4434848
Rocky Mountain NP,2020,3305199
Rocky Mountain NP,2019,4670053
Rocky Mountain NP,2018,4590493
Rocky Mountain NP,2017,4437215
Rocky Mountain NP,2016,4517585
Rocky Mountain NP,2015,4155916
Rocky Mountain NP,2014,3434751
Rocky Mountain NP,2013,2991141
Rocky Mountain NP,2012,3229617
Rocky Mountain NP,2011,3176941
Saguaro NP,2022,908194
Saguaro NP,2021,1079786
Saguaro NP,2020,762226
Saguaro NP,2019,1020226
Saguaro NP,2018,957405
Saguaro NP,2017,964760
Saguaro NP,2016,820426
Saguaro NP,2015,753446
Saguaro NP,2014,673572
Saguaro NP,2013,678261
Saguaro NP,2012,634286
Saguaro NP,2011,610045
Sequoia NP,2022,1153198
Sequoia NP,2021,1059548
Sequoia NP,2020,796086
Sequoia NP,2019,1246053
Sequoia NP,2018,1229594
Sequoia NP,2017,1291256
Sequoia NP,2016,1254688
Sequoia NP,2015,1097464
Sequoia NP,2014,1039137
Sequoia NP,2013,909274
Sequoia NP,2012,1106584
Sequoia NP,2011,1006583
Shenandoah NP,2022,1449300
Shenandoah NP,2021,1592312
Shenandoah NP,2020,1666265
Shenandoah NP,2019,1425507
Shenandoah NP,2018,1264880
Shenandoah NP,2017,1458874
Shenandoah NP,2016,1437341
Shenandoah NP,2015,1321873
Shenandoah NP,2014,1255321
Shenandoah NP,2013,1136505
Shenandoah NP,2012,1210200
Shenandoah NP,2011,1209883
Theodore Roosevelt NP,2022,668679
Theodore Roosevelt NP,2021,796085
Theodore Roosevelt NP,2020,551303
Theodore Roosevelt NP,2019,691658
Theodore Roosevelt NP,2018,749389
Theodore Roosevelt NP,2017,708003
Theodore Roosevelt NP,2016,753880
Theodore Roosevelt NP,2015,580033
Theodore Roosevelt NP,2014,559580
Theodore Roosevelt NP,2013,545090
Theodore Roosevelt NP,2012,640555
Theodore Roosevelt NP,2011,563407
Virgin Islands NP,2022,196752
Virgin Islands NP,2021,323999
Virgin Islands NP,2020,167540
Virgin Islands NP,2019,133398
Virgin Islands NP,2018,112287
Virgin Islands NP,2017,304408
Virgin Islands NP,2016,411343
Virgin Islands NP,2015,438372
Virgin Islands NP,2014,426930
Virgin Islands NP,2013,438601
Virgin Islands NP,2012,483341
Virgin Islands NP,2011,442414
Voyageurs NP,2022,221434
Voyageurs NP,2021,243042
Voyageurs NP,2020,263091
Voyageurs NP,2019,232974
Voyageurs NP,2018,239656
Voyageurs NP,2017,237250
Voyageurs NP,2016,241912
Voyageurs NP,2015,238313
Voyageurs NP,2014,239160
Voyageurs NP,2013,233390
Voyageurs NP,2012,214841
Voyageurs NP,2011,177184
White Sands NP,2022,705127
White Sands NP,2021,782469
White Sands NP,2020,415383
White Sands NP,2019,608785
White Sands NP,2018,603008
White Sands NP,2017,612468
White Sands NP,2016,555793
White Sands NP,2015,497506
White Sands NP,2014,503660
White Sands NP,2013,490544
White Sands NP,2012,447385
White Sands NP,2011,428924
Wind Cave NP,2022,607418
Wind Cave NP,2021,709001
Wind Cave NP,2020,448405
Wind Cave NP,2019,615350
Wind Cave NP,2018,656397
Wind Cave NP,2017,619924
Wind Cave NP,2016,617377
Wind Cave NP,2015,612198
Wind Cave NP,2014,547022
Wind Cave NP,2013,516142
Wind Cave NP,2012,529083
Wind Cave NP,2011,538394
Wrangell-St. Elias NP & PRES,2022,65236
Wrangell-St. Elias NP & PRES,2021,50189
Wrangell-St. Elias NP & PRES,2020,16655
Wrangell-St. Elias NP & PRES,2019,74518
Wrangell-St. Elias NP & PRES,2018,79450
Wrangell-St. Elias NP & PRES,2017,68292
Wrangell-St. Elias NP & PRES,2016,79047
Wrangell-St. Elias NP & PRES,2015,80366
Wrangell-St. Elias NP & PRES,2014,74722
Wrangell-St. Elias NP & PRES,2013,69984
Wrangell-St. Elias NP & PRES,2012,87158
Wrangell-St. Elias NP & PRES,2011,65225
Yellowstone NP,2022,3290242
Yellowstone NP,2021,4860242
Yellowstone NP,2020,3806306
Yellowstone NP,2019,4020288
Yellowstone NP,2018,4115000
Yellowstone NP,2017,4116524
Yellowstone NP,2016,4257177
Yellowstone NP,2015,4097710
Yellowstone NP,2014,3513484
Yellowstone NP,2013,3188030
Yellowstone NP,2012,3447729
Yellowstone NP,2011,3394326
Yosemite NP,2022,3667550
Yosemite NP,2021,3287595
Yosemite NP,2020,2268313
Yosemite NP,2019,4422861
Yosemite NP,2018,4009436
Yosemite NP,2017,4336890
Yosemite NP,2016,5028868
Yosemite NP,2015,4150217
Yosemite NP,2014,3882642
Yosemite NP,2013,3691191
Yosemite NP,2012,3853404
Yosemite NP,2011,3951393
Zion NP,2022,4692417
Zion NP,2021,5039835
Zion NP,2020,3591254
Zion NP,2019,4488268
Zion NP,2018,4320033
Zion NP,2017,4504812
Zion NP,2016,4295127
Zion NP,2015,3648846
Zion NP,2014,3189696
Zion NP,2013,2807387
Zion NP,2012,2973607
Zion NP,2011,2825505
