Park Name,Location,Size(Acres),State,Abandoned_wells_count, Buildings ,  Trail Miles  ,  Housing Units  ,  Campgrounds  ,  Unpaved Road Miles  ,  Water Systems  ,  Waste Water Systems  ,  Paved Road Miles  ,  All Other Assets  , DM&R 
Acadia,Maine,47389,ME,0,214,153,71,6,82,17,18,57,56,"119,512,309"
American Samoa,American Samoa,9000,AS,0,6,26,0,0,9,1,0,2,11,"424,205"
Arches,Utah,76518,UT,2,35,23,9,1,28,3,7,25,26,"10,383,642"
Badlands,South Dakota,242755,SD,0,94,10,35,3,49,9,9,35,73,"56,616,515"
Big Bend,Texas,801163,TX,0,181,159,116,48,217,6,16,122,63,"138,503,994"
Biscayne,Florida,172924,FL,0,35,10,6,2,0,4,4,1,29,"90,287,062"
Black Canyon of the Gunnison,Colorado,32950,CO,1,32,21,8,3,17,6,4,9,25,"12,141,882"
Bryce Canyon,Utah,35835,UT,1,75,87,49,5,6,4,3,38,40,"16,764,043"
Canyonlands,Utah,337597,UT,2,81,186,41,29,164,3,9,53,45,"61,328,080"
Capitol Reef,Utah,181971,UT,3,50,33,18,4,75,2,2,27,54,"20,121,952"
Carlsbad Caverns,New Mexico,46766,NM,198,28,85,15,0,25,1,3,9,22,"53,137,425"
Channel Islands,California,249561,CA,1920,79,46,27,7,75,13,9,0,59,"91,720,174"
Congaree,South Carolina,26545,SC,0,17,36,1,3,6,5,7,2,31,"22,686,243"
Crater Lake,Oregon,183224,OR,0,79,94,45,3,7,3,4,78,16,"193,452,740"
Cuyahoga Valley,Ohio,32860,OH,10,335,111,4,2,5,7,11,4,224,"162,176,038"
Death Valley,California,3372401.96,CA,0,151,40,128,58,870,9,9,308,120,"234,669,196"
Denali,Alaska,4740911,AK,0,267,66,102,7,96,12,12,20,84,"57,016,565"
Dry Tortugas,Florida,64701,FL,0,12,0,27,1,0,5,1,0,26,"155,126,578"
Everglades,Florida,1508537,FL,8,172,229,79,25,19,23,21,110,133,"252,779,892"
Gates of the Arctic,Alaska,7523897,AK,0,26,0,11,0,0,6,6,0,14,"1,049,162"
Gateway Arch,Missouri,90,MO,410,9,0,0,0,0,0,0,0,6,"37,775,929"
Glacier,Montana,1013572,MT,4,113,100,26,3,1,7,7,4,37,"27,516,175"
Glacier Bay,Alaska,3224840,AK,0,113,100,26,3,1,7,7,4,37,"27,516,175"
Grand Canyon,Arizona,1217403,AZ,1,939,595,518,9,148,3,15,123,251,"829,025,955"
Grand Teton,Wyoming,309994,WY,0,808,361,316,33,67,23,25,153,120,"180,094,978"
Great Basin,Nevada,77180,NV,2,97,71,18,11,127,4,2,15,32,"23,094,383"
Great Sand Dunes,Colorado,149027,CO,0,21,36,15,1,13,2,17,7,20,"8,930,666"
Great Smoky Mountains,North Carolina,521490,NC,0,409,728,68,106,143,26,24,185,336,"301,341,925"
Guadalupe Mountains,Texas,86415,TX,5,56,83,25,16,24,5,9,9,28,"48,522,419"
Haleakala,Hawaii,29093,HI,0,67,45,9,4,0,10,6,14,62,"73,318,870"
Hawaii Volcanoes,Hawaii,323431,HI,0,174,181,14,9,19,29,28,85,109,"201,852,756"
Hot Springs,Arkansas,5549,AR,18,61,27,3,1,2,6,1,12,35,"30,263,112"
Indiana Dunes,Indiana,15349,IN,18,108,36,3,5,1,26,24,24,52,"46,119,113"
Isle Royale,Michigan,571790,MI,0,225,169,47,36,0,9,5,1,108,"57,704,535"
Joshua Tree,California,789745,CA,6,130,230,12,13,116,6,4,82,172,"133,581,292"
Katmai,Alaska,3674529,AK,0,134,20,42,1,28,7,5,0,50,"6,979,450"
Kenai Fjords,Alaska,669982,AK,0,40,10,7,2,0,2,2,1,27,"1,920,001"
Kings Canyon,California,461901,CA,0,482,818,182,15,21,22,19,119,107,"256,818,564"
Kobuk Valley,Alaska,1750716,AK,0,,,,,,,,,,
Lake Clark,Alaska,2619733,AK,0,81,51,14,0,2,3,4,0,59,"4,210,183"
Lassen Volcanic,California,106372,CA,0,189,172,59,11,23,10,12,40,35,"74,155,972"
Mammoth Cave,Kentucky,52830,KY,1313,133,165,21,19,24,4,8,50,194,"93,046,249"
Mesa Verde,Colorado,52121,CO,98,132,96,67,2,62,14,14,57,111,"133,924,292"
Mount Rainier,Washington,235625,WA,0,216,276,111,6,22,23,12,98,95,"251,516,261"
New River Gorge,West Virginia,72808,WV,,179,85,4,13,17,3,7,6,132,"80,746,829"
North Cascades,Washington,504780,WA,0,243,391,45,44,32,17,12,14,122,"46,330,395"
Olympic,Washington,922650,WA,0,452,619,72,20,68,17,17,102,203,"195,605,878"
Petrified Forest,Arizona,93533,AZ,2,46,6,44,0,110,3,7,38,46,"92,530,731"
Pinnacles,California,26606,CA,50,68,40,16,1,8,6,12,10,24,"34,043,066"
Redwood,California,112513,CA,0,97,119,14,6,273,9,14,33,52,"220,780,130"
Rocky Mountain,Colorado,26582,CO,2,312,369,162,119,27,27,48,75,128,"99,387,633"
Saguaro,Arizona,91440,AZ,0,59,190,3,6,12,8,6,20,52,"61,817,245"
Sequoia,California,404051,CA,0,482,818,182,15,21,22,19,119,107,"256,818,564"
Shenandoah,Virginia,199045,VA,0,316,322,20,5,100,26,39,126,243,"150,328,893"
Theodore Roosevelt,North Dakota,70447,ND,1585,61,95,32,5,8,9,7,47,38,"69,604,978"
Virgin Islands,U.S. Virgin Islands,14689,VI,0,79,20,22,3,4,26,17,13,110,"81,148,656"
Voyageurs,Minnesota,218200,MN,0,149,191,16,11,17,16,15,6,193,"38,080,804"
White Sands,New Mexico,145762,NM,0,28,9,8,2,14,1,1,9,38,"9,699,608"
Wind Cave,South Dakota,28295,SD,1,48,53,26,1,39,15,1,18,36,"22,343,482"
Wrangell St Elias,Alaska,8323148,AK,0,147,201,35,2,2,11,15,0,115,"62,326,706"
Yellowstone,Wyoming,2219791,WY,0,"1,443","1,113",517,21,61,23,23,392,311,"1,004,036,739"
Yosemite,California,761266,CA,0,923,784,317,21,39,28,22,328,283,"1,131,470,352"
Zion,Utah,146598,UT,0,119,91,44,4,6,9,8,80,64,"52,677,526"
