Name,latitude,longitude
Acadia National Park,44.409286,-68.247501
Arches National Park,38.72261844,-109.5863666
American Samoa National Park,-14.22865935,-169.8503777
Badlands National Park,43.68584846,-102.482942
Big Bend National Park,29.29817767,-103.2297897
Biscayne National Park,25.490587,-80.21023851
Black Canyon Of The Gunnison National Park,38.57779869,-107.7242756
Bryce Canyon National Park,37.58399144,-112.1826689
Canyonlands National Park,38.24555783,-109.8801624
Capitol Reef National Park,38.28216531,-111.2470484
Carlsbad Caverns National Park,32.14089463,-104.5529688
Channel Islands National Park,33.98680093,-119.9112735
Congaree National Park,33.79187523,-80.74867805
Crater Lake National Park,42.94065854,-122.1338414
Cuyahoga Valley National Park,41.26093905,-81.57116722
Death Valley National Park,36.48753731,-117.134395
Denali National Park & Preserve,63.29777484,-151.0526568
Dry Tortugas National Park,24.628741,-82.87319
Everglades National Park,25.37294225,-80.88200301
Gates Of The Arctic National Park & Preserve,67.75961636,-153.2917758
Gateway Arch National Park,38.6258069,-90.1892508
Glacier Bay National Park & Preserve,58.80086718,-136.8407579
Glacier National Park,48.68414678,-113.8009306
Grand Canyon National Park,36.00011653,-112.1215164
Grand Teton National Park,43.81853565,-110.7054666
Great Basin National Park,38.94617378,-114.2579782
Great Sand Dunes National Park & Preserve,37.79256812,-105.5919572
Great Smoky Mountains National Park,35.60116374,-83.50818326
Guadalupe Mountains National Park,31.92304462,-104.885527
Haleakal National Park,20.70693015,-156.1591775
Hawaiʻi Volcanoes National Park,19.3355036,-155.4700257
Hot Springs National Park,34.52414366,-93.06332936
Indiana Dunes National Park,41.63765525,-87.09647445
Isle Royale National Park,48.01145819,-88.82780657
Joshua Tree National Park,33.91418525,-115.8398125
Katmai National Park & Preserve,58.62235668,-155.0126574
Kenai Fjords National Park,59.81804414,-150.106502
Kobuk Valley National Park,67.35631336,-159.2002293
Lake Clark National Park & Preserve,60.57405857,-153.55535
Lassen Volcanic National Park,40.49354575,-121.4075993
Mammoth Cave National Park,37.19760458,-86.13090198
Mesa Verde National Park,37.23908345,-108.4624032
Mount Rainier National Park,46.86075416,-121.7043885
National Parks of New York Harbor,40.6632,-74.0451
New River Gorge National Park & Preserve,37.86878554,-80.99956002
North Cascades National Park,48.71171756,-121.2069423
Olympic National Park,47.80392754,-123.6663848
Petrified Forest National Park,34.98387664,-109.7877678
Pinnacles National Park,36.49029208,-121.1813607
Redwood National Park,41.213181,-124.004631
Rocky Mountain National Park,40.3556924,-105.6972879
Saguaro National Park,32.20909636,-110.7574974
Sequoia National Parks,36.486366,-118.56575
Kings Canyon National Park,36.887856,-118.555145
Shenandoah National Park,38.49236644,-78.46907715
Theodore Roosevelt National Park,47.17777274,-103.4300083
Virgin Islands National Park,18.34279656,-64.74194451
Voyageurs National Park,48.48370609,-92.8382913
White Sands National Park,32.77907858,-106.3333461
Wind Cave National Park,43.58012365,-103.4394709
Wolf Trap National Park for the Performing Arts,38.93854526,-77.265089
Wrangell,61.4182147,-142.6028439
Yellowstone National Park,44.59824417,-110.5471695
Yosemite National Park,37.84883288,-119.5571873
Zion National Park,37.29839254,-113.0265138